Source;Target
1;16
1;21
1;26
1;30
2;14
2;41
3;10
3;15
3;17
3;20
3;23
3;39
3;40
3;43
4;22
4;24
4;33
4;36
4;45
5;14
5;15
5;25
5;31
6;8
6;30
6;38
7;16
7;26
7;35
7;38
7;44
8;17
8;30
8;38
8;40
9;46
10;15
10;33
10;39
11;15
12;22
12;36
13;32
13;42
13;36
14;15
14;20
14;25
14;29
14;41
14;43
15;25
15;31
15;33
15;43
16;26
16;44
17;35
17;38
17;39
17;40
17;45
19;46
20;37
20;40
20;43
20;47
21;30
21;26
21;38
22;24
22;36
23;43
24;33
24;36
26;38
28;35
28;45
30;38
32;42
32;36
33;36
33;39
33;45
34;41
35;38
35;45
36;45
39;45
